prompt_len_words,batch_size,success,latency_sec,gpu_mem_before_mb,gpu_mem_after_mb,gpu_mem_delta_mb,error
128,1,True,0.566,22250,22250,0,
128,2,True,0.551,22250,22250,0,
128,4,True,0.568,22250,22250,0,
128,8,True,0.573,22250,22250,0,
128,16,True,0.581,22250,22250,0,
128,32,True,0.63,22250,22250,0,
256,1,True,0.546,22250,22250,0,
256,2,True,0.557,22250,22641,391,
256,4,True,0.568,22250,22250,0,
256,8,True,0.577,22250,22250,0,
256,16,True,0.592,22250,22250,0,
256,32,True,0.641,22250,22250,0,
512,1,True,0.553,22250,22250,0,
512,2,True,0.567,22250,22250,0,
512,4,True,0.573,22250,22250,0,
512,8,True,0.586,22250,22250,0,
512,16,True,0.604,22250,22250,0,
512,32,True,0.665,22250,22250,0,
1024,1,True,0.581,22250,22250,0,
1024,2,True,0.574,22250,22250,0,
1024,4,True,0.584,22250,22250,0,
1024,8,True,0.598,22250,22250,0,
1024,16,True,0.628,22250,22250,0,
1024,32,True,0.71,22250,22250,0,
2048,1,True,0.641,22250,22250,0,
2048,2,True,0.585,22250,22250,0,
2048,4,True,0.597,22250,22250,0,
2048,8,True,0.622,22250,22250,0,
2048,16,True,0.676,22250,22250,0,
2048,32,True,0.802,22250,22250,0,
