request_rate,policy,num_requests,slo_attainment,average_latency,p95_latency
0.22,FCFS,240,0.7708333333333334,2.8533856345768327,7.045972346932729
0.22,SLO-aware,240,0.7875,2.8698664679101658,7.14530489220499
0.28,FCFS,240,0.7958333333333333,2.8053138345675372,8.822496378499103
0.28,SLO-aware,240,0.85,2.8282857095675387,8.810818244846018
0.34,FCFS,240,0.6833333333333333,3.119338961108192,6.804340276163629
0.34,SLO-aware,240,0.7583333333333333,3.0997270861081927,7.556458450181452
0.4,FCFS,240,0.37916666666666665,6.639863784860088,16.762263497163133
0.4,SLO-aware,240,0.6041666666666666,7.019168784860096,26.13343878644349
0.46,FCFS,240,0.22916666666666666,12.294027077377432,31.089503900030934
0.46,SLO-aware,240,0.5375,12.106793744044086,41.837693244628326
0.52,FCFS,240,0.30833333333333335,8.902198442825068,20.140718498322485
0.52,SLO-aware,240,0.6041666666666666,9.399402401158394,28.66687172739273
