request_id,arrival_time,input_len,output_len,slo_deadline,kv_memory,hidden_memory
0,5.435901552904456,446,383,4.106607770766818,1658,871
1,15.051953560487535,722,367,3.832068152947797,2178,1144
2,19.19184591287705,129,149,0.8674404456043804,556,292
3,24.432677453098897,714,431,2.8915827520932584,2290,1203
4,27.69503031307279,635,288,2.1630806782477463,1846,970
5,32.09587417242247,504,70,1.0170076728561923,1148,603
6,44.22931336399775,323,436,3.543434101452874,1518,797
7,45.67282636162545,271,375,3.2180914109644476,1292,679
8,58.97814074924277,327,312,2.107369870409363,1278,671
9,64.14737408149765,492,409,2.684031252509276,1802,947
10,66.02522040115025,164,65,1.2907867530608452,458,241
11,67.30015961978862,179,180,1.2856469108301234,718,377
12,68.84461057589894,845,340,3.8882953378389007,2370,1245
13,71.39266761594732,1476,1753,9.918837844756323,6458,3391
14,85.55186098633862,894,108,1.273629172407688,2004,1053
15,85.9561486993242,315,513,2.7598099429297904,1656,870
16,90.19089119798517,520,316,4.135426320892376,1672,878
17,93.52561117777333,837,167,3.512685829318089,2008,1055
18,97.68765565573011,818,224,1.9930414240906646,2084,1095
19,104.02502407432996,291,346,1.9578104258053486,1274,669
20,106.74081404022364,2534,1578,11.547536863809931,8224,4318
21,120.7655389560389,149,124,0.7582173187804387,546,287
22,123.24568908027103,797,353,3.4637310128889207,2300,1208
23,124.74465332389887,2485,808,8.46093409462785,6586,3458
24,124.82090646562898,343,462,3.3727586512779597,1610,846
25,131.57082332947948,113,349,2.211991333372332,924,486
26,133.56870116853838,1920,997,11.977487428476435,5834,3063
27,136.97874032477029,479,244,3.983489231478397,1446,760
28,145.0950955517791,402,134,0.9273195609845911,1072,563
29,151.53206500670228,1873,1756,22.653645966607783,7258,3811
30,156.69227925126958,294,442,3.3210494134250763,1472,773
31,161.06847899965973,860,250,2.4105295083027207,2220,1166
32,165.53184438923861,463,170,2.295237417382659,1266,665
33,169.74588879081554,638,230,1.9067849639051528,1736,912
34,174.167564626584,481,496,2.7503327895821195,1954,1026
35,177.4144014214924,222,74,0.8697896819102807,592,311
36,178.867814729621,1708,792,12.137787816925373,5000,2625
37,181.66779261040452,431,382,2.5110901280518148,1626,854
38,187.46893364317555,813,134,1.722977913510118,1894,995
39,187.93451534528694,2625,1475,17.011930839831233,8200,4305
40,192.70794420516984,154,407,1.883562280311471,1122,590
41,196.80983477373962,505,370,4.732506038128495,1750,919
42,223.12933237483512,528,340,2.309629005370092,1736,912
43,228.4896418972051,1265,1275,9.434963768878875,5080,2667
44,232.57472713487354,384,508,6.8364692612516675,1784,937
45,241.41126559571686,839,423,4.659214903697652,2524,1326
46,243.18494159872026,2993,1487,17.682107914275637,8960,4704
47,243.4547929314035,369,163,1.7577515475560557,1064,559
48,245.87998719197486,229,350,2.1871003123893704,1158,608
49,248.01170132274734,214,369,2.225695578898994,1166,613
50,253.33505743544072,119,446,4.777799209778774,1130,594
51,273.36467287597975,2282,782,6.090224609617419,6128,3218
52,275.0389574898604,3284,1747,10.718238646854195,10062,5283
53,276.25986717951344,563,439,5.59157899031898,2004,1053
54,282.03432279991824,620,366,5.7686831714057485,1972,1036
55,282.5760607312531,162,319,2.4601870732487097,962,506
56,283.149144363786,162,349,2.021854293160299,1022,537
57,286.4388423226099,825,317,5.4888544002166935,2284,1200
58,291.0694801012077,2491,1201,13.168098411112553,7384,3877
59,291.8527484016621,1867,729,11.254006858613403,5192,2726
60,292.9382327093418,1143,1442,7.40335028848863,5170,2715
61,297.54503127269794,2942,1370,10.997929450025973,8624,4528
62,298.81369770067244,420,372,4.162556313327179,1584,832
63,306.6000815244013,1990,604,4.348049329524454,5188,2724
64,310.82138569570157,461,328,2.308632572538022,1578,829
65,319.7048540802175,3469,1611,12.693256990658382,10160,5334
66,320.9996905890023,422,288,3.0719035523035236,1420,746
67,322.71290329780163,1023,973,5.927837686712301,3992,2096
68,323.4124441232746,1563,765,5.13967815750028,4656,2445
69,329.70202595823076,560,354,2.276099848142742,1828,960
70,332.66278493237553,766,156,2.40372182235541,1844,969
71,334.22839884305733,492,483,3.807833256411339,1950,1024
72,335.6734073709179,510,404,2.2197474840003584,1828,960
73,337.58882255553897,2379,1487,9.403835635727072,7732,4060
74,338.47636284636167,377,266,1.7959904149512558,1286,676
75,339.8971809532058,1670,708,5.731655377777353,4756,2497
76,343.8299714041156,2461,1454,10.775368245148856,7830,4111
77,347.9060354533048,874,478,4.850616329551571,2704,1420
78,353.41332371929445,598,302,4.7544442280395725,1800,945
79,366.8663712191327,1957,1302,16.98807883563602,6518,3422
80,369.021077892219,2707,1655,9.856691076054314,8724,4581
81,369.57578109236493,428,63,0.6560503819646076,982,516
82,381.33113533128466,232,204,1.8828182955621318,872,458
83,383.2821745945987,357,440,4.182139006104927,1594,837
84,383.51087922721484,479,267,2.03217226726586,1492,784
85,388.7420426123192,100,362,2.6750332939645594,924,486
86,389.22973333846033,345,159,1.301186419640243,1008,530
87,389.610082033074,176,422,2.988008940222986,1196,628
88,391.31760045146405,136,436,1.9962356262887826,1144,601
89,402.64353829773546,398,177,1.5909959617621174,1150,604
90,402.949514522935,386,74,0.9413204107538801,920,483
91,405.98740227054446,877,74,1.7034168492286956,1902,999
92,420.2413547058185,2900,1807,13.688788646892085,9414,4943
93,424.1308324064183,1813,576,4.136477533646442,4778,2509
94,425.78104481550054,1907,1506,10.605544004064974,6826,3584
95,427.33438511769043,944,1034,10.279299023663585,3956,2077
96,429.87924395554853,131,411,2.8225093634409104,1084,570
97,438.3463230152626,166,297,1.9933216986205147,926,487
98,440.8863905018043,2537,538,5.3035424363349115,6150,3229
