avg_batch,avg_latency,hidden_ratio,p95_latency,paper,policy,rate,requests,slo_attainment
7.956,3452.210607026486,0.0,5763.1869398110985,SLO-Aware,FCFS,2,500,0.006
7.956,2460.9458054286765,0.0,5406.556428296415,SLO-Aware,SLO-aware,2,500,0.002
15.892,2186.7911335401122,0.0,3541.5259643853856,Apt-Serve,FCFS-KV,2,500,0.006
15.892,1737.6429360015413,0.0,3494.5903171771365,Apt-Serve,Adaptive-Hybrid,2,500,0.002
7.956,3509.2507852820645,0.0,5873.303722683583,SLO-Aware,FCFS,4,500,0.006
7.956,1942.7879920861187,0.0,4587.5629184544805,SLO-Aware,SLO-aware,4,500,0.002
15.892,2248.5619208527773,0.0,3662.569980643316,Apt-Serve,FCFS-KV,4,500,0.004
15.892,1369.649774054268,0.0,3177.1267658159813,Apt-Serve,Adaptive-Hybrid,4,500,0.002
7.956,3537.770874409853,0.0,5928.362114119825,SLO-Aware,FCFS,8,500,0.006
7.956,1519.2920448372968,0.0,3699.1563880086505,SLO-Aware,SLO-aware,8,500,0.002
15.892,2279.447314509108,0.0,3723.0919887722807,Apt-Serve,FCFS-KV,8,500,0.004
15.892,985.2445380837034,0.0,2382.572454837353,Apt-Serve,Adaptive-Hybrid,8,500,0.002
7.956,3552.03091897375,0.0,5955.891309837946,SLO-Aware,FCFS,16,500,0.006
7.956,1318.2298871692346,0.0,3320.2509070864708,SLO-Aware,SLO-aware,16,500,0.002
15.892,2294.8900113372756,0.0,3753.352992836764,Apt-Serve,FCFS-KV,16,500,0.004
15.892,750.3706920384575,0.0,1888.4184055916842,Apt-Serve,Adaptive-Hybrid,16,500,0.002
